,comment,comment_id,reply_count,like_count,updated_at,calificacion
103.0,"This Yoga Camp has been the most beautiful journey. Here I am, the day before a stressful oral exam, warming up and breathing. Can't stop smiling. These videos are a blessing. Thank you so much for your kindness Adriene!",UgjlqCF5BeawAngCoAEC,0.0,0.0,2017-06-04T16:00:24Z,0.9998511075973511
104.0,Thank you so much Adriene. Get so much out of your thirty day series. It has really changed my life. You are awesome :-),UggBUTjxzG32sngCoAEC,0.0,1.0,2017-05-10T11:20:17Z,0.9998395442962646
105.0,Thank you Adriene! Thank you!,UghTZOKoX_-qWngCoAEC,0.0,2.0,2017-05-09T16:48:45Z,0.999862790107727
106.0,I surround myself with freeeedom :)  it feels so good,Ugh7PJm2iIDwUHgCoAEC,0.0,0.0,2017-05-05T09:07:41Z,0.9997525811195374
107.0,Revolution was my first experience with Yoga with Adriene and am now an everyday yoga with Adriene yogi. Appreciate you so very much Adriene! Can you please let me in on the brand of your long yoga pants?  As above and the sleek ones you are frequently filmed in.,UggliO4wMMus33gCoAEC,0.0,0.0,2017-04-26T16:44:16Z,0.9997503161430359
108.0,💌,Ugg6c-hBPCKLgngCoAEC,0.0,0.0,2017-04-26T05:39:22Z,-0.6970567107200623
109.0,"for some reasons this program has such a good influence on me, my daily life and my mental health. it is like magic to me. i been trough a lot these last months , and by pure chance i came across  this Yoga camp that in a certain way has changed my life. Thank you Adrienne.",Ugjrb6Ei6rc2N3gCoAEC,0.0,1.0,2017-04-03T14:02:44Z,0.9997305274009705
110.0,"It was only 17 minutes, but it was a butt-kicking 17 minutes! Namaste.",UgjlhKYEMHHbH3gCoAEC,0.0,5.0,2017-03-03T05:59:52Z,-0.9253561496734619
111.0,"Je veux m'entourer d'amour, de beauté, de bonté... Voilà!  Merci",UghZDJ78vu-I5HgCoAEC,0.0,0.0,2017-02-24T01:04:43Z,0.9835366606712341
112.0,"Lol, this was a perfect time for a little massage because I just had a headache (caused by the tension on my neck and shoulders). :D This was different, but different is great. Namaste.",UghLs7qw6xAgaXgCoAEC,0.0,0.0,2017-02-22T15:04:12Z,0.7993653416633606
113.0,"I'm telling you have changed my life in such a positive exciting way.  I look forward to every minute on the mat with you.  I encourage everyone of my friends, family members, and hair clients to check you out.  I'm so thankful for you and all that you do.  your energy is refreshing.",UggYNjcqI0pptHgCoAEC,0.0,0.0,2017-02-03T19:30:59Z,0.9998846054077148
114.0,This was perfect for me today! Thanks Adriene!,UgieDy7jIltQxXgCoAEC,0.0,1.0,2017-01-26T20:35:52Z,0.9998586177825928
115.0,"Day 22 Check. Still awaiting answers. BTW, thank you for making this one brief.

I Surround Myself With...",UgjuUWG2HGy2NngCoAEC,0.0,0.0,2017-01-26T09:02:22Z,0.9989076852798462
116.0,with my cats,Ugi0TeBm1ms2ZngCoAEC,0.0,0.0,2017-01-19T20:19:39Z,0.996418833732605
117.0,"Good everyday, but today's was so needed and appreciated.  ❤️",Ugj-pQ2RCOtXN3gCoAEC,0.0,0.0,2017-01-09T01:51:53Z,0.9991311430931091
118.0,Thanks you!!!!,UghgieT3rI00dHgCoAEC,0.0,0.0,2017-01-05T07:48:36Z,0.9998155236244202
119.0,Love you too.,UgiqzjcXYN6_pXgCoAEC,0.0,0.0,2016-12-29T02:26:19Z,0.9998693466186523
120.0,I love her videos but I think she talks to much that it takes focus away,UgiiLgcfFunfIngCoAEC,0.0,0.0,2016-12-16T03:36:08Z,0.9906865954399109
